ID,latitude,longitude,Date,farm type,Pop,Infection
"374",14.876070000000000,101.453469999999996,21-04-2017,dairy,"90","0"
"228",14.916119999999999,101.407619999999994,25-04-2017,dairy,"115","0"
"242",14.891600000000000,101.446629999999999,01-05-2017,dairy,"8","0"
"469",14.893500000000000,101.440680000000000,02-05-2017,dairy,"40","1"
"410",14.942740000000001,101.407449999999997,05-05-2017,dairy,"16","0"
"434",14.902930000000000,101.411310000000000,05-05-2017,dairy,"14","0"
"331",14.889089999999999,101.421210000000002,05-05-2017,dairy,"24","0"
"360",14.857930000000000,101.449860000000001,05-05-2017,dairy,"50","0"
"108",14.912620000000000,101.402559999999994,15-05-2017,dairy,"25","0"
"379",14.910750000000000,101.403729999999996,15-05-2017,dairy,"15","0"
"47",14.907209999999999,101.407700000000006,15-05-2017,dairy,"70","0"
"200",14.847379999999999,101.413020000000003,15-05-2017,dairy,"26","0"
"78",14.918279999999999,101.420469999999995,15-05-2017,dairy,"60","0"
"433",14.847939999999999,101.422600000000003,15-05-2017,dairy,"23","0"
"185",14.853770000000001,101.434740000000005,15-05-2017,dairy,"34","0"
"183",14.934290000000001,101.433329999999998,20-05-2017,dairy,"70","0"
"342",14.913220000000001,101.402860000000004,25-05-2017,dairy,"60","0"
"22",14.907560000000000,101.408600000000007,02-06-2017,dairy,"14","0"
"64",14.913160000000000,101.402550000000005,10-06-2017,dairy,"32","0"
"213",14.935260000000000,101.433170000000004,10-06-2017,dairy,"50","0"
"411",14.908939999999999,101.404359999999997,16-06-2017,dairy,"90","0"
"370",14.909100000000000,101.405600000000007,17-06-2017,dairy,"6","0"
"480",14.865550000000001,101.420419999999993,20-06-2017,dairy,"32","0"
"493",14.909570000000000,101.403549999999996,07-07-2017,dairy,"22","0"
"178",14.944020000000000,101.414379999999994,01-08-2017,dairy,"34","0"
"61",14.939600000000000,101.371619999999993,,dairy,"40","0"
"89",14.940049999999999,101.371799999999993,,dairy,"100","0"
"169",14.941170000000000,101.376059999999995,,dairy,"8","0"
"499",14.941560000000001,101.376080000000002,,dairy,"15","0"
"41",14.942150000000000,101.376480000000001,,dairy,"23","0"
